               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.025732,            0.016133,                   0,             0.38462,             0.34434,             0.26156,            0.087543,            0.060616,            0.026652,                   0,           0.0044836,           0.0044836,           0.0044836
                 114,            0.025411,            0.016268,                   0,             0.39825,             0.35124,             0.25428,              0.0835,            0.060587,            0.026968,                   0,           0.0044343,           0.0044343,           0.0044343
                 115,             0.02512,            0.016065,                   0,             0.38567,             0.36266,             0.26178,            0.083539,            0.060507,            0.026723,                   0,           0.0043851,           0.0043851,           0.0043851
                 116,            0.025037,            0.016263,                   0,              0.4123,             0.34324,             0.25795,             0.08582,            0.060333,            0.026731,                   0,           0.0043358,           0.0043358,           0.0043358
                 117,            0.024895,            0.016436,                   0,             0.41943,             0.32843,             0.25114,            0.082277,            0.060634,            0.026744,                   0,           0.0042866,           0.0042866,           0.0042866
                 118,            0.025121,            0.015798,                   0,             0.41402,             0.34324,             0.25568,             0.08375,            0.060563,             0.02704,                   0,           0.0042373,           0.0042373,           0.0042373
                 119,            0.024512,            0.015791,                   0,             0.43384,             0.32501,             0.25508,               0.083,            0.060374,            0.027107,                   0,           0.0041881,           0.0041881,           0.0041881
                 120,            0.024486,            0.015283,                   0,             0.40216,             0.34047,             0.25377,            0.083012,            0.060791,            0.027372,                   0,           0.0041388,           0.0041388,           0.0041388
                 121,            0.023973,            0.015161,                   0,             0.40969,             0.33452,             0.25883,            0.085081,            0.060799,            0.027482,                   0,           0.0040896,           0.0040896,           0.0040896
                 122,            0.023832,            0.015395,                   0,             0.41649,             0.32818,             0.25092,             0.08122,             0.06088,            0.027638,                   0,           0.0040403,           0.0040403,           0.0040403
                 123,             0.02381,            0.015319,                   0,             0.37724,             0.35394,             0.25285,            0.082328,              0.0606,            0.027358,                   0,            0.003991,            0.003991,            0.003991
                 124,             0.02351,            0.014989,                   0,             0.42508,             0.33452,             0.25705,            0.084353,            0.059969,            0.027581,                   0,           0.0039418,           0.0039418,           0.0039418
                 125,            0.023554,            0.014722,                   0,             0.44277,              0.3258,             0.25804,            0.085626,            0.060474,            0.028074,                   0,           0.0038925,           0.0038925,           0.0038925
                 126,            0.023632,            0.015325,                   0,             0.41554,             0.33214,             0.25455,             0.08298,            0.060522,            0.027876,                   0,           0.0038433,           0.0038433,           0.0038433
                 127,             0.02311,            0.014405,                   0,             0.42191,             0.33135,             0.25615,            0.086821,             0.06051,            0.027921,                   0,            0.003794,            0.003794,            0.003794
                 128,            0.023153,            0.014528,                   0,             0.41131,             0.33591,             0.25239,            0.084219,            0.060541,            0.027959,                   0,           0.0037448,           0.0037448,           0.0037448
